#Photon    Incoher. Nuclear  
#Energy    Scatter. Pr. Prd. 
# https://physics.nist.gov/cgi-bin/Xcom/xcom2?Method=Comp&Output2=Hand
1.000E-01 1.626E-01 0.000E+00 
1.500E-01 1.474E-01 0.000E+00 
2.000E-01 1.353E-01 0.000E+00 
3.000E-01 1.179E-01 0.000E+00 
4.000E-01 1.058E-01 0.000E+00 
5.000E-01 9.663E-02 0.000E+00 
6.000E-01 8.939E-02 0.000E+00 
8.000E-01 7.856E-02 0.000E+00 
1.000E+00 7.066E-02 0.000E+00 
1.022E+00 6.991E-02 0.000E+00 
1.250E+00 6.318E-02 1.777E-05 
1.500E+00 5.742E-02 9.820E-05 
2.000E+00 4.901E-02 3.908E-04 
2.044E+00 4.839E-02 4.212E-04 
3.000E+00 3.855E-02 1.117E-03 
4.000E+00 3.216E-02 1.812E-03 
5.000E+00 2.777E-02 2.431E-03 
6.000E+00 2.454E-02 2.987E-03 
7.000E+00 2.206E-02 3.482E-03 
8.000E+00 2.008E-02 3.927E-03 
9.000E+00 1.846E-02 4.334E-03 
1.000E+01 1.710E-02 4.699E-03 
1.100E+01 1.595E-02 5.034E-03 
1.200E+01 1.496E-02 5.341E-03 
1.300E+01 1.409E-02 5.627E-03 
1.400E+01 1.333E-02 5.893E-03 
1.500E+01 1.266E-02 6.141E-03 
1.600E+01 1.205E-02 6.376E-03 
1.800E+01 1.102E-02 6.803E-03 
2.000E+01 1.016E-02 7.186E-03 
2.200E+01 9.435E-03 7.535E-03 
2.400E+01 8.817E-03 7.853E-03 
2.600E+01 8.278E-03 8.143E-03 
2.800E+01 7.809E-03 8.412E-03 
3.000E+01 7.396E-03 8.661E-03 
4.000E+01 5.875E-03 9.674E-03 
5.000E+01 4.906E-03 1.045E-02 
6.000E+01 4.225E-03 1.106E-02 
8.000E+01 3.333E-03 1.199E-02 
1.000E+02 2.767E-03 1.267E-02 
1.500E+02 1.970E-03 1.380E-02 
2.000E+02 1.545E-03 1.450E-02 
3.000E+02 1.095E-03 1.534E-02 
4.000E+02 8.574E-04 1.583E-02 
5.000E+02 7.099E-04 1.615E-02 
6.000E+02 6.079E-04 1.639E-02 
8.000E+02 4.747E-04 1.670E-02 
1.000E+03 3.905E-04 1.691E-02 
1.500E+03 2.727E-04 1.721E-02 
2.000E+03 2.111E-04 1.738E-02 
3.000E+03 1.467E-04 1.755E-02 
4.000E+03 1.133E-04 1.765E-02 
5.000E+03 9.264E-05 1.771E-02 
6.000E+03 7.856E-05 1.776E-02 
8.000E+03 6.050E-05 1.781E-02 
1.000E+04 4.939E-05 1.784E-02 
